AL	52419.02
AK	663267.26
AZ	113998.30
AR	53178.62
CA	163695.57
CO	104093.57
CT	5543.33
DE	2489.27
FL	65754.59
GA	59424.77
HI	10930.98
ID	83570.08
IL	57914.38
IN	36417.73
IA	56271.55
KS	82276.84
KY	40409.02
LA	51839.70
ME	35384.65
MD	12406.68
MA	10554.57
MI	96716.11
MN	86938.87
MS	48430.19
MO	69704.31
MT	147042.40
NE	77353.73
NV	110560.71
NH	9349.94
NJ	8721.30
NM	121589.48
NY	54556.00
NC	53818.51
ND	70699.79
OH	44824.90
OK	69898.19
OR	98380.64
PA	46055.24
RI	1545.05
SC	32020.20
SD	77116.49
TN	42143.27
TX	268580.82
UT	84898.83
VT	9614.26
VA	42774.20
WA	71299.64
DC	68.34
WV	24229.76
WI	65497.82
WY	97813.56
